country,location,year,population_size,source
India,Tripura,2011,3673917,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Jammu_and_Kashmir,2011,12541302,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Punjab,2011,27743338,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Goa,2011,1458545,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Madhya_Pradesh,2011,72626809,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Jharkhand,2011,32988134,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Andaman_and_Nicobar_Islands,2011,380581,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Karnataka,2011,61095297,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Daman_and_Diu,2011,243247,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Nagaland,2011,1978502,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Kerala,2011,33406061,https://censusindia.gov.in/2011census/C-series/C-13.html
India,India,2011,1210854977,https://censusindia.gov.in/2011census/C-series/C-13.html
Israel,Israel,2008,7412200,https://www.cbs.gov.il/en/subjects/Pages/The-2008-Census-of-Population.aspx
Japan,Aichi-ken,2010,7409000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Akita-ken,2010,1086000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Aomori-ken,2010,1373000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Chiba-ken,2010,6217000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Ehime-ken,2010,1431000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Fukui-ken,2010,807000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Fukuoka-ken,2010,5073000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Fukushima-ken,2010,2029000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Gifu-ken,2010,2081000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Gumma-ken,2010,2008000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
